retailerProductId,name,brand,url,matchedFieldTitles,matchedSnippets,categoryPaths
541325011,Filotea Strozzapreti Durum Wheat Semolina Pasta,Filotea,https://www.ocado.com/products/541325011/details,detailedDescription,"Filotea Strozzapreti Durum Wheat Semolina Pasta – a long, round shape with a slightly open side makes these ideal for soaking up plenty of sauces, ideal for meat, tomato or cheese baked dishes. This pasta is made with 100% Italian durum wheat, bronze drawn and slow dried at low temperatures. 13% protein content, suitable for vegetarians and vegans.",food-cupboard/brands-we-love/just-gourmet-foods/food-cupboard | food-cupboard/brands-we-love/just-gourmet-foods/pasta-rice/pasta | food-cupboard/rice-pasta-pulses/pasta/fusilli-spirals/spirals
35099011,Finlandia Classic Vodka,Finlandia,https://www.ocado.com/products/35099011/details,dietaryInformation,Suitable for Vegetarians; Suitable for Vegans; Kosher; Gluten free,beer-wine-spirits/spirits/vodka/classic
43779011,Finlandia Cranberry Vodka,Finlandia,https://www.ocado.com/products/43779011/details,dietaryInformation,Suitable for Vegetarians; Suitable for Vegans; Kosher; Gluten free,beer-wine-spirits/spirits/vodka/flavoured
43777011,Finlandia Grapefruit Vodka,Finlandia,https://www.ocado.com/products/43777011/details,dietaryInformation,Suitable for Vegetarians; Suitable for Vegans; Kosher; Gluten free,beer-wine-spirits/spirits/vodka/flavoured
18285011,Finlandia Lime Vodka,Finlandia,https://www.ocado.com/products/18285011/details,dietaryInformation,Suitable for Vegetarians; Suitable for Vegans; Kosher; Gluten free,beer-wine-spirits/spirits/vodka/flavoured
583269011,Fishermans Friend Original Extra Strong Lozenges,Fisherman's Friend,https://www.ocado.com/products/583269011/details,features | dietaryInformation,"Gluten-free, European Vegetarian Union, Suitable for Vegans | Suitable for Vegetarians; Suitable for Vegans; Gluten free",events-inspiration/winter-wellness/cough-cold-flu | health-beauty-personal-care/health-medicines/cold-flu-cough/cough | health-beauty-personal-care/health-medicines/cold-flu-cough/sore-throat
479545011,Fitzgeralds 6 Multiseed & Cereal Sliced Bagel Thins,Fitzgeralds,https://www.ocado.com/products/479545011/details,features | dietaryInformation,"Classic bagel taste, just a slimmer bagel!, Delicious toasted, Suitable for vegetarians and vegans | Suitable for Vegetarians; Suitable for Vegans",bakery/rolls-bagels-sandwich-thins/bagels | dietary-lifestyle-world-foods/vegan/food-cupboard | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
556914011,Fitzgeralds Large Multiseed Wraps,Fitzgeralds,https://www.ocado.com/products/556914011/details,features | dietaryInformation,"Soft and delicious wraps, perfect warmed with your favourite filling, So Many great Ways to Wrap, Keep your wraps fresher for a little longer, Made with Wheat Flour - From EU & Non-EU Countries, Suitable for Vegetarians and Vegans | Suitable for Vegetarians; Suitable for Vegans",bakery/wraps-pitta-naan-bread/wraps/brown-wraps | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
556913011,Fitzgeralds Large Plain Wraps,Fitzgeralds,https://www.ocado.com/products/556913011/details,features | dietaryInformation,"Soft and delicious wraps, perfect warmed with your favourite filling, So Many great Ways to Wrap, Made with Wheat Flour - From EU & Non-EU Countries, Keep your wraps fresher for a little longer, Suitable for Vegetarians and Vegans | Suitable for Vegans; Suitable for Vegetarians",bakery/wraps-pitta-naan-bread/wraps/white-wraps | dietary-lifestyle-world-foods/vegetarian/food-cupboard | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
556915011,Fitzgeralds Large Wholemeal Wraps,Fitzgeralds,https://www.ocado.com/products/556915011/details,features | dietaryInformation,"Soft and delicious wraps, perfect warmed with your favourite filling, High in Fibre, Made with Wheat Flour - From EU & Non-EU Countries, So many great ways to wrap, Keep your wraps fresher for a little longer, Suitable for Vegetarians and Vegans | Suitable for Vegans; Suitable for Vegetarians",bakery/wraps-pitta-naan-bread/wraps/brown-wraps | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
556921011,Fitzgeralds Plain Sliced Bagels,Fitzgeralds,https://www.ocado.com/products/556921011/details,features | dietaryInformation,"Pre-sliced & ready to toast, Authentic deli style bagels with a delicious, soft chewy centre and a light crispy crust, Delicious toasted, Suitable for vegetarians and vegans | Suitable for Vegetarians; Suitable for Vegans",bakery/rolls-bagels-sandwich-thins/bagels | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
479551011,Fitzgeralds Poppy Seeded Sliced Bagels,Fitzgeralds,https://www.ocado.com/products/479551011/details,features | dietaryInformation,"Pre-sliced & ready to toast, Authentic deli style bagels with a delicious, soft chewy centre and a light crispy crust, Delicious toasted, Suitable for vegetarians and vegans | Suitable for Vegetarians; Suitable for Vegans",bakery/rolls-bagels-sandwich-thins/bagels | dietary-lifestyle-world-foods/vegan/food-cupboard | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
556918011,Fitzgeralds Sesame Sliced Bagels,Fitzgeralds,https://www.ocado.com/products/556918011/details,features | dietaryInformation,"Pre-sliced & ready to toast, Authentic deli style bagels with a delicious, soft chewy centre and a light crispy crust, Delicious toasted, Suitable for vegetarians and vegans | Suitable for Vegetarians; Suitable for Vegans",bakery/rolls-bagels-sandwich-thins/bagels | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
556917011,Fitzgeralds Skinny Italian Pizza Bases,Fitzgeralds,https://www.ocado.com/products/556917011/details,features | dietaryInformation,"Five simple ingredients, Perfect for thin & crispy, Pizza in minutes, Ready to top with your favourite toppings, No added sugar, Suitable for vegetarians and vegans | Suitable for Vegetarians; Suitable for Vegans; No Added Sugar",dietary-lifestyle-world-foods/world-foods/irish/food-cupboard | food-cupboard/meal-kits/italian/pizza-bases
479546011,Fitzgeralds Sourdough Sliced Bagels,Fitzgeralds,https://www.ocado.com/products/479546011/details,features | dietaryInformation,"Delicious toasted, Pre-sliced & ready to toast, Suitable for Vegetarians and Vegans | Suitable for Vegetarians; Suitable for Vegans",bakery/rolls-bagels-sandwich-thins/bagels | dietary-lifestyle-world-foods/vegan/food-cupboard | dietary-lifestyle-world-foods/world-foods/irish/food-cupboard
